pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
Home---Home	192	11	7	5	6	0	2	0	0	0	0	0	9
Home---School	136	183	190	169	62	37	11	13	5	5	7	5	135
Home---Secondary	759	950	844	594	306	144	102	60	40	54	46	33	653
Home---University	22	74	76	51	8	7	1	0	0	1	2	1	15
Home---Work	548	816	751	374	137	72	19	14	9	12	15	5	211
School---Home	128	145	154	128	53	26	7	11	4	8	6	2	47
School---School	120	75	41	29	17	14	9	11	9	8	8	2	57
School---Secondary	9	12	20	12	4	4	0	3	3	0	0	0	6
School---Work	0	1	0	0	0	0	1	0	0	0	0	0	0
Secondary---Home	809	882	785	604	303	138	81	55	43	53	37	28	295
Secondary---School	1	0	0	0	0	0	0	0	0	0	0	0	0
Secondary---Secondary	2531	1852	991	617	440	269	255	196	161	153	127	116	941
Secondary---University	1	6	5	1	1	0	0	0	1	0	0	0	1
Secondary---Work	29	36	31	15	3	3	1	3	0	1	2	0	10
University---Home	21	65	48	45	11	6	1	1	0	1	1	0	8
University---Secondary	3	5	5	4	2	3	1	0	1	1	0	1	4
University---University	87	56	35	20	9	5	4	6	3	8	6	2	44
University---Work	4	0	3	3	0	2	0	0	0	0	0	1	0
Work---Home	472	710	586	312	130	61	31	13	11	9	16	15	99
Work---Secondary	70	88	41	36	21	14	9	5	5	5	3	4	28
Work---University	4	3	1	6	4	3	0	0	0	0	0	0	0
Work---Work	1204	943	564	288	156	123	91	100	92	64	71	52	374

average trip duration: 1870.6955811217153 seconds = 00:31:10
