Iteration	bike	car	pt	taxi	undefined	walk
0	0.0	0.39096141547644425	0.2619910466851418	0.0	0.002504796418674057	0.34454274141973995
1	0.0	0.39096141547644425	0.2619910466851418	0.0	0.002504796418674057	0.34454274141973995
2	0.0	0.39096141547644425	0.2619910466851418	0.0	0.002504796418674057	0.34454274141973995
3	0.0	0.39096141547644425	0.2619910466851418	0.0	0.002504796418674057	0.34454274141973995
4	0.0	0.39096141547644425	0.2619910466851418	0.0	0.002504796418674057	0.34454274141973995
5	0.0	0.39096141547644425	0.2619910466851418	0.0	0.002504796418674057	0.34454274141973995
6	0.0	0.39096141547644425	0.2619910466851418	0.0	0.002504796418674057	0.34454274141973995
7	0.0	0.39096141547644425	0.2619910466851418	0.0	0.002504796418674057	0.34454274141973995
8	0.0	0.39096141547644425	0.2619910466851418	0.0	0.002504796418674057	0.34454274141973995
9	0.0	0.39096141547644425	0.2619910466851418	0.0	0.002504796418674057	0.34454274141973995
10	0.0	0.39096141547644425	0.2619910466851418	0.0	0.002504796418674057	0.34454274141973995
