pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
Home---Home	192	11	7	5	6	0	2	0	0	0	0	0	9
Home---School	136	183	190	167	64	36	12	13	5	5	7	5	135
Home---Secondary	758	955	835	603	300	149	99	60	40	54	46	33	653
Home---University	22	73	77	51	8	7	1	0	0	1	2	1	15
Home---Work	551	816	747	374	138	71	20	14	9	12	15	5	211
School---Home	128	143	155	128	54	26	7	11	4	8	6	2	47
School---School	121	75	40	29	17	14	9	11	9	8	8	2	57
School---Secondary	9	12	20	11	5	4	1	2	3	0	0	0	6
School---Work	0	1	0	0	0	0	1	0	0	0	0	0	0
Secondary---Home	804	888	788	601	299	141	80	56	43	53	37	28	294
Secondary---School	1	0	0	0	0	0	0	0	0	0	0	0	0
Secondary---Secondary	2541	1849	979	626	437	269	253	197	161	153	127	116	941
Secondary---University	1	6	5	1	1	0	0	0	1	0	0	0	1
Secondary---Work	29	36	31	15	3	3	1	3	0	1	2	0	10
University---Home	20	66	48	45	11	6	1	1	0	1	1	0	8
University---Secondary	3	4	6	3	3	3	1	0	1	1	0	1	4
University---University	86	57	35	20	9	5	4	6	3	8	6	2	44
University---Work	4	0	3	3	0	2	0	0	0	0	0	1	0
Work---Home	473	703	593	312	129	61	31	13	11	9	16	15	99
Work---Secondary	70	88	42	35	21	13	10	5	5	5	3	4	28
Work---University	4	3	1	6	4	3	0	0	0	0	0	0	0
Work---Work	1203	942	561	294	156	122	91	100	92	64	71	52	374

average trip duration: 1870.3849648635398 seconds = 00:31:10
