pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
Home---Home	192	11	7	5	6	0	2	0	0	0	0	0	9
Home---School	136	183	192	166	63	37	11	13	5	5	7	5	135
Home---Secondary	761	948	844	597	303	145	101	60	40	54	46	33	653
Home---University	22	74	76	51	8	7	1	0	0	1	2	1	15
Home---Work	550	815	748	377	136	72	19	14	9	12	15	5	211
School---Home	129	144	153	129	52	27	7	11	4	8	6	2	47
School---School	121	74	41	28	18	14	9	11	9	8	8	2	57
School---Secondary	9	12	21	11	4	4	1	2	3	0	0	0	6
School---Work	0	1	0	0	0	0	1	0	0	0	0	0	0
Secondary---Home	807	886	787	600	303	137	82	55	43	53	37	28	295
Secondary---School	1	0	0	0	0	0	0	0	0	0	0	0	0
Secondary---Secondary	2536	1853	985	622	437	268	255	195	161	153	127	116	941
Secondary---University	1	6	5	1	1	0	0	0	1	0	0	0	1
Secondary---Work	29	36	31	15	3	3	1	3	0	1	2	0	10
University---Home	21	65	48	45	11	6	1	1	0	1	1	0	8
University---Secondary	3	5	5	4	2	3	1	0	1	1	0	1	4
University---University	87	56	35	20	9	5	4	6	3	8	6	2	44
University---Work	4	0	3	3	0	2	0	0	0	0	0	1	0
Work---Home	473	709	587	312	130	60	31	13	11	9	16	15	99
Work---Secondary	70	88	40	37	21	13	10	5	5	5	3	4	28
Work---University	4	3	1	6	4	3	0	0	0	0	0	0	0
Work---Work	1203	941	565	292	154	122	92	100	92	64	71	52	374

average trip duration: 1870.618446855798 seconds = 00:31:10
