pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
Home---Home	192	11	7	5	6	0	2	0	0	0	0	0	9
Home---School	137	182	190	167	64	37	11	13	5	5	7	5	135
Home---Secondary	761	948	839	605	299	147	100	60	40	54	46	33	653
Home---University	22	73	77	50	9	7	1	0	0	1	2	1	15
Home---Work	551	818	744	379	134	71	20	14	9	12	15	5	211
School---Home	128	143	155	127	55	26	7	11	4	8	6	2	47
School---School	120	76	40	29	17	14	9	11	9	8	8	2	57
School---Secondary	8	13	20	12	4	4	1	2	3	0	0	0	6
School---Work	0	1	0	0	0	0	1	0	0	0	0	0	0
Secondary---Home	801	891	789	597	302	141	80	56	43	53	37	28	295
Secondary---School	1	0	0	0	0	0	0	0	0	0	0	0	0
Secondary---Secondary	2529	1860	981	620	442	269	254	196	161	153	127	116	941
Secondary---University	1	6	5	1	1	0	0	0	1	0	0	0	1
Secondary---Work	29	36	31	15	3	3	1	3	0	1	2	0	10
University---Home	21	65	48	45	11	6	1	1	0	1	1	0	8
University---Secondary	3	4	6	4	2	3	1	0	1	1	0	1	4
University---University	87	56	35	20	9	5	4	6	3	8	6	2	44
University---Work	4	0	3	3	0	2	0	0	0	0	0	1	0
Work---Home	472	705	595	311	127	61	31	13	11	9	16	15	99
Work---Secondary	70	88	41	36	21	13	10	5	5	5	3	4	28
Work---University	4	3	1	6	4	3	0	0	0	0	0	0	0
Work---Work	1201	943	564	292	155	123	91	100	92	64	71	52	374

average trip duration: 1870.6225650411818 seconds = 00:31:10
