pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
Home---Home	192	11	7	5	6	0	2	0	0	0	0	0	9
Home---School	137	180	193	166	64	37	11	13	5	5	7	5	135
Home---Secondary	757	957	837	603	298	146	100	61	40	54	46	33	653
Home---University	22	74	76	51	8	7	1	0	0	1	2	1	15
Home---Work	551	814	751	376	133	73	19	14	9	12	15	5	211
School---Home	128	144	154	129	53	26	7	11	4	8	6	2	47
School---School	121	74	40	30	17	14	9	11	9	8	8	2	57
School---Secondary	9	12	22	9	5	4	0	3	3	0	0	0	6
School---Work	0	1	0	0	0	0	1	0	0	0	0	0	0
Secondary---Home	807	886	783	604	298	143	81	55	43	53	37	28	294
Secondary---School	1	0	0	0	0	0	0	0	0	0	0	0	0
Secondary---Secondary	2540	1842	990	622	438	268	256	195	161	153	127	116	941
Secondary---University	1	6	5	1	1	0	0	0	1	0	0	0	1
Secondary---Work	29	36	31	15	3	3	1	3	0	1	2	0	10
University---Home	20	66	48	45	11	6	1	1	0	1	1	0	8
University---Secondary	3	5	6	2	3	3	1	0	1	1	0	1	4
University---University	87	56	35	20	9	5	4	6	3	8	6	2	44
University---Work	4	0	3	3	0	2	0	0	0	0	0	1	0
Work---Home	473	705	591	312	128	62	31	13	11	9	16	15	99
Work---Secondary	72	86	42	35	21	14	9	5	5	5	3	4	28
Work---University	4	3	1	6	4	3	0	0	0	0	0	0	0
Work---Work	1199	948	562	291	156	121	92	100	92	64	71	52	374

average trip duration: 1870.365746036934 seconds = 00:31:10
